,b2818,b3959,b3958,b3359,b3957,b0273,b3172,b3960,b4254
starve_series__t00_growth1,0.0421303440809543,0.0404816219040372,0.0380037732978924,0.0709744026016239,0.0809669332966255,0.037693414479621,0.0477125165120069,0.0745356987001562,0.0129385700602584
starve_series__t01_starve,0.0479497614586756,0.1430469227862752,0.0297033332348522,0.047870803970126,0.1767168015055251,0.0332381999484857,0.0574311159704907,0.3797021333424064,0.0249543972735865
starve_series__t02_starve,0.005608732034775,0.0082556061512655,0.0014950676480737,0.0095303134733499,0.0697206015218329,0.0021807915254367,0.0101600621045313,0.0295336544778896,0.0007129367351315
starve_series__t03_starve,0.0050403700755201,0.0112567659859101,0.0011420532235367,0.0094606274569241,0.0690333134134046,0.0018675397313421,0.0107688210171648,0.0292157700737448,0.0005189918488275
starve_series__t04_starve,0.0050822196538809,0.0117945247517398,0.00130116883286,0.008513207346269,0.0680513844788374,0.0022612009582144,0.0106245152406272,0.027566359370174,0.000589876751163
starve_series__t05_starve,0.0035600462003518,0.0066222771407725,0.0007483682767084,0.00977899259376,0.0664920099600586,0.0018845201857767,0.0086630118083967,0.0210275827007023,0.0005679369932779
starve_series__t06_starve,0.0043251594036442,0.0065787875529607,0.0007399439443053,0.0102065151829199,0.063524477431644,0.0020529517853653,0.0072519359029327,0.0164537689760422,0.0006722284042065
starve_series__t07_starve,0.0032001314856975,0.0048568647111154,0.0006270837424102,0.0118884228575942,0.0599488574110026,0.0018639197156397,0.0059302835334632,0.0143582338193398,0.0006715725926957
starve_series__t08_starve,0.0038387947929798,0.0033771492786045,0.0007965573928636,0.0102871696201886,0.0641225366803085,0.0019288596116256,0.0056828568085402,0.0142568995510536,0.0004926858152211
starve_series__t09_starve,0.0034922713574863,0.0032660479525769,0.0006657109405169,0.0113312385067581,0.0610015511489705,0.0018098183734184,0.0052671345324023,0.01092290051601,0.0005532583872991
starve_series__t10_starve,0.0036824367265324,0.00286454792218,0.0006298223011355,0.0111466493270818,0.0560805025419026,0.001739057587522,0.0059578887720033,0.0091282291508916,0.0007580344479558
starve_series__t11_starve,0.0047211542633499,0.0019390706037004,0.0005937851773852,0.0127899395054104,0.0570851506320595,0.0019247599597599,0.0062299932459239,0.0095543568334159,0.0007057503473127
starve_series__t12_starve,0.0038495499552822,0.0015305887497612,0.0006768006235616,0.0139762765294999,0.0544780984372035,0.0017786670529247,0.0054456090055519,0.0077697048790991,0.0005676296059156
starve_series__t14_starve,0.0034206694471046,0.0014559434578265,0.0009254305779836,0.0184768992982316,0.0461970192651202,0.0020072585676821,0.0058580718311129,0.0085245932765404,0.0005534184611972
starve_series__t16_starve,0.0037932577137838,0.0020610947255253,0.0008757619747651,0.0136672401963399,0.0416106577610077,0.0019434747263558,0.0045768433180099,0.0084567105326346,0.0006676998611966
starve_series__t17_starve,0.0040970318836414,0.0019698675057402,0.0010143005477349,0.0107111353240668,0.0533368334637244,0.0018988685833083,0.0040779269901717,0.0076788397348812,0.0007331956701536
starve_series__t18_starve,0.0046186484018854,0.0022364736163708,0.0008505413539281,0.0102932352623802,0.0433657340999507,0.0014707087802959,0.0036943750055641,0.0070454558961567,0.0007263209382927
starve_series__t21_growth2,0.3425016035433932,0.2954987996168591,0.3097178865085495,0.2781806017698106,0.1511874665758474,0.3264372500636174,0.1544045830169624,0.4745662209379364,0.0715987010109366
starve_series__t22_growth2,0.0335636599205566,0.0147144342022218,0.0295242699569864,0.0221938664687043,0.0786440550647955,0.0327528318783393,0.0268895354761977,0.023081167431735,0.0095818979274828
starve_series__t23_growth2,0.1272088167476885,0.0560838465344193,0.1042629009069648,0.0856286140132732,0.0922349305582985,0.1273226693246683,0.0537443115535049,0.0454098318384344,0.0359355849607339
starve_series__t25_growth2,0.172851392589744,0.2474497044542837,0.2370739072828478,0.190932339712724,0.2293207386302587,0.2495699009928258,0.1368121671825,0.3911890819674016,0.0903282793170658
starve_series__t26_growth2,0.1121363847376354,0.1549780029568752,0.1414616795005467,0.1646855704399705,0.1803686511200825,0.1283652878881824,0.1133205714297201,0.2368269980164103,0.04595383009389
starve_series__t27_growth2,0.0936914428798839,0.1067489420870075,0.1087809615466637,0.130410433037829,0.1619372064453789,0.0876379154163298,0.0878008198499448,0.1698644052686015,0.0307965413058037
starve_series__t28_growth2,0.0826291469403781,0.0967323257435481,0.0860988806224164,0.1386612987169181,0.1299846050709112,0.0599611706303326,0.0906499095410666,0.1562209110773287,0.0182402842541644
p1k_00001,0.1878636527612112,0.0849412782700144,0.1068971819508762,0.2166075750691811,0.1784824634122757,0.1286636324627796,0.1196332234974271,0.1130359940285933,0.0740228508704032
p1k_00002,0.2179592489696608,0.0876379461202157,0.1177551970683692,0.2692180378199685,0.1966239530560947,0.151776537404157,0.1252495084854303,0.1198365018588493,0.0833435564788704
p1k_00003,0.0468551678928502,0.0407571240993989,0.0302494714798723,0.0847703259132164,0.1321345415734452,0.0326467798443815,0.0394783027759638,0.0447455030758284,0.0108372034409587
p1k_00004,0.0291726283498717,0.0277400285363992,0.0173880047733236,0.0494915690683961,0.1144604389670296,0.0183893372587023,0.0298680527846665,0.0299383413426282,0.0057327456801348
p1k_00005,0.2347883913326578,0.1598939940133087,0.1536888903109959,0.3980810279177293,0.1917651774598434,0.2203436541471894,0.1648974552579013,0.1743132484633879,0.1240667928417221
p1k_00006,0.2407440903245105,0.1543662571363867,0.1507650024200696,0.3656339975283987,0.1871090651800961,0.1906582447683124,0.1532068757141201,0.1497433861777869,0.098735158761902
