,b2341,b2342,b1187
RNAP,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001
kEscape,0.10698233933472284,0.1,0.22528592063795144
KeqOpening,0.9736010880657375,0.5218890643389036,2.0524395303154424
KdRNAPCrp,9.492187500000784e-06,5.566406250000798e-06,0.00011003906250000053
