Parameter,Value
act_TF_conc_lo,2.902870141566294e-15
act_TF_conc_up,0.0141906595266016
act_Kd_lo,1.8563752674263462e-08
act_Kd_up,0.022562938027416133
inh_TF_conc_lo,2.902870141566294e-15
inh_TF_conc_up,0.0141906595266016
inh_Kd_lo,1.8563752674263462e-08
inh_Kd_up,0.022562938027416133
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,3.198117104161447e-05
inh_metab_Total_lo,3.8e-07
inh_metab_Total_up,0.0408
act_metab_Total_lo,3.8e-07
act_metab_Total_up,0.0408
