Parameter,Value
act_TF_conc_lo,8.757053161482582e-26
act_TF_conc_up,4.280879054542209e-13
act_Kd_lo,1.1949082974722602e-09
act_Kd_up,34549.43097685416
inh_TF_conc_lo,8.757053161482582e-26
inh_TF_conc_up,4.280879054542209e-13
inh_Kd_lo,1.1949082974722602e-09
inh_Kd_up,34549.43097685416
weight_act_obj1,8.192636589173368
weight_inh_obj1,8.192636589173368
weight_mRNA_match,3.3319313401707576e-06
inh_metab_Total_lo,3.8e-07
inh_metab_Total_up,0.0408
act_metab_Total_lo,3.8e-07
act_metab_Total_up,0.0408
